epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.028,2.14011,1.90256,2.21962,0.10181,0.16226,0.04802,0.01825,2.2787,1.76127,2.23086,0.0902304,0.000199379,0.000199379
2,216.806,1.91157,1.31532,1.96628,0.27146,0.33774,0.16644,0.07208,2.18391,1.3494,2.1547,0.0804271,0.000396084,0.000396084
3,320.549,1.80373,1.09658,1.85537,0.42912,0.42264,0.34546,0.15351,2.01338,1.17454,2.12182,0.0706205,0.000589489,0.000589489
4,415.663,1.72737,0.99142,1.77926,0.58599,0.51887,0.46982,0.23503,1.95792,0.97378,2.06136,0.0608107,0.000779594,0.000779594
5,510.253,1.68279,0.92165,1.74191,0.60609,0.48679,0.5039,0.26529,1.89649,1.05789,2.03813,0.0509975,0.000966399,0.000966399
6,604.315,1.64772,0.885,1.70515,0.58391,0.53774,0.53403,0.2609,1.94065,0.98845,2.06217,0.041181,0.0011499,0.0011499
7,698.497,1.6204,0.83463,1.68689,0.69381,0.57291,0.61148,0.30811,1.90834,0.83978,2.00991,0.0313612,0.00133011,0.00133011
8,795.074,1.6067,0.82,1.65772,0.64982,0.4717,0.50498,0.25202,1.93271,1.06017,2.034,0.0215381,0.00150701,0.00150701
9,894.504,1.59081,0.79498,1.62614,0.53674,0.49811,0.48092,0.23829,2.07753,1.06094,2.17489,0.0117117,0.00168062,0.00168062
10,999.753,1.59632,0.81314,1.63816,0.73807,0.5566,0.63264,0.33751,1.84434,0.83439,1.92195,0.00188198,0.00185093,0.00185093
11,1099.38,1.61161,0.80716,1.66483,0.63136,0.47358,0.50352,0.24473,2.0031,1.04754,2.06565,0.001835,0.001835,0.001835
12,1192.62,1.5873,0.78579,1.63023,0.63412,0.51698,0.54305,0.27549,1.89114,0.93555,1.9781,0.0018185,0.0018185,0.0018185
13,1286.89,1.56845,0.76043,1.63556,0.67807,0.55637,0.59428,0.30958,1.90584,0.86811,2.01465,0.001802,0.001802,0.001802
14,1381.42,1.55383,0.73895,1.60752,0.57649,0.55472,0.5478,0.28379,1.97937,0.92275,2.0891,0.0017855,0.0017855,0.0017855
15,1474.66,1.52586,0.72654,1.58297,0.60812,0.56038,0.57845,0.30327,1.90107,0.92784,1.94226,0.001769,0.001769,0.001769
16,1567.8,1.49988,0.69484,1.56926,0.62313,0.56155,0.55973,0.26279,2.02683,0.92964,2.02382,0.0017525,0.0017525,0.0017525
17,1672.77,1.48464,0.68373,1.56994,0.65287,0.55714,0.56042,0.26137,2.04801,0.95775,2.15361,0.001736,0.001736,0.001736
18,1778.9,1.47899,0.68098,1.57015,0.56326,0.45849,0.43843,0.21603,1.98284,1.11146,2.05816,0.0017195,0.0017195,0.0017195
19,1884.75,1.45238,0.67485,1.5447,0.55366,0.45849,0.44935,0.23085,2.02333,1.03179,2.08236,0.001703,0.001703,0.001703
20,1990.3,1.42086,0.64498,1.52234,0.63131,0.49057,0.55144,0.28216,1.96022,1.01876,2.04818,0.0016865,0.0016865,0.0016865
21,2090.16,1.41676,0.64789,1.52971,0.59771,0.53774,0.53929,0.28601,1.92732,0.93065,2.02441,0.00167,0.00167,0.00167
