epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.468,1.48339,2.75095,1.96445,0.58437,0.50434,0.51184,0.29018,1.33581,1.87496,1.78495,0.0936722,0.000333042,0.000333042
2,483.836,1.42682,1.85966,1.85411,0.67719,0.59167,0.63492,0.38748,1.28521,1.43215,1.71739,0.0873323,0.000659778,0.000659778
3,726.787,1.38898,1.65535,1.81486,0.71813,0.62057,0.68147,0.4172,1.26762,1.27349,1.68861,0.0809857,0.000979915,0.000979915
4,972.497,1.36938,1.55298,1.78754,0.72294,0.61892,0.69357,0.43619,1.23882,1.22155,1.6482,0.0746326,0.00129345,0.00129345
5,1212.46,1.3543,1.48963,1.75911,0.72904,0.63581,0.70424,0.4411,1.25128,1.18567,1.67301,0.0682729,0.00160039,0.00160039
6,1393.94,1.35245,1.45228,1.76194,0.7377,0.663,0.72502,0.46153,1.22013,1.11938,1.63163,0.0619065,0.00190072,0.00190072
7,1587.55,1.34,1.42873,1.74775,0.73282,0.67435,0.73044,0.46905,1.20926,1.11189,1.63704,0.0555336,0.00219446,0.00219446
8,1815.17,1.34544,1.41246,1.75351,0.75651,0.66974,0.73496,0.47243,1.19696,1.09356,1.61195,0.0491541,0.0024816,0.0024816
9,2019.65,1.33605,1.38541,1.7429,0.75465,0.68445,0.74477,0.47755,1.21202,1.07402,1.61983,0.042768,0.00276213,0.00276213
10,2220.75,1.34703,1.39656,1.75767,0.76932,0.68107,0.74972,0.48737,1.19502,1.04166,1.62302,0.0363752,0.00303607,0.00303607
11,2359.78,1.34311,1.36272,1.7487,0.75202,0.67736,0.74492,0.48137,1.20642,1.04654,1.63133,0.0299759,0.0033034,0.0033034
12,2501.74,1.35425,1.3733,1.76352,0.76994,0.6825,0.75501,0.49282,1.19105,1.02498,1.62284,0.02357,0.00356414,0.00356414
13,2656.51,1.36254,1.37177,1.76392,0.75574,0.6741,0.74364,0.48268,1.20687,1.03576,1.64374,0.0171574,0.00381828,0.00381828
